여러분은 평소 체력 관리를 위해 어떤 활동을 하고 계신가요? 모두 선택해주세요.,,,,,,
구분,고유번호,성별,나이,지역,설문일시,문항1
KT,w1411326573305,남,1971년 03월 07일 (만 54 세),충북,2025-01-11 0:41,4
KT,w6485372646408,남,1993년 06월 28일 (만 32 세),경북,2025-01-07 7:17,9
KT,w247231331166160,여,1994년 12월 30일 (만 31 세),서울,2025-01-06 23:14,3
KT,w29041735379542,여,1975년 10월 06일 (만 50 세),부산,2025-01-07 8:51,"8, 3, 4"
KT,w199410328422758,여,1986년 07월 31일 (만 39 세),경기,2025-01-06 13:55,10
KT,w200879485114333,남,1956년 06월 02일 (만 69 세),서울,2025-01-08 8:20,"4, 8, 9"
KT,w355292251282,여,1987년 11월 18일 (만 38 세),부산,2025-01-07 10:53,1
Wiz,w39371359645403,남,2001년 01월 05일 (만 24 세),경기,2025-01-07 0:03,2
KT,w169636377210092,여,1982년 10월 08일 (만 43 세),서울,2025-01-06 17:33,10
KT,w90160563718961,남,1977년 06월 27일 (만 48 세),서울,2025-01-09 10:14,2
KT,w397179622324607,남,1966년 05월 01일 (만 59 세),전남,2025-01-06 10:58,10
KT,w264562877295262,여,1968년 02월 01일 (만 57 세),대전,2025-01-07 5:43,4
KT,w50651511158386,여,1973년 06월 16일 (만 52 세),부산,2025-01-07 3:18,10
KT,w262236960418851,남,1984년 05월 15일 (만 41 세),경기,2025-01-06 13:47,1
KT,,,(만 2025 세),,2025-01-07 16:47,1
KT,w113709924145417,여,1982년 05월 20일 (만 43 세),경기,2025-01-06 12:45,"1, 2, 4"
KT,w70283681971048,남,1967년 08월 12일 (만 58 세),전북,2025-01-06 21:14,10
KT,w28350554565431,남,1960년 08월 03일 (만 65 세),광주,2025-01-07 0:43,10
KT,w270900374653586,남,1957년 01월 18일 (만 68 세),강원,2025-01-07 20:37,"6, 2, 4"
KT,w251362475709208,여,1986년 09월 25일 (만 39 세),경남,2025-01-06 10:24,3
KT,w34090666702379,남,1993년 11월 29일 (만 32 세),광주,2025-01-07 6:33,7
KT,w154014553079774,여,1960년 12월 20일 (만 65 세),충북,2025-01-08 8:49,4
KT,w33998122582294,여,1946년 11월 25일 (만 79 세),울산,2025-01-08 20:18,4
KT,w242082019734799,남,1966년 01월 17일 (만 59 세),대전,2025-01-06 11:26,10
KT,w351069463168,남,1960년 01월 15일 (만 65 세),서울,2025-01-06 16:37,"4, 9"
KT,w191054326724930,여,1999년 09월 10일 (만 26 세),경기,2025-01-07 19:31,4
KT,,,(만 2025 세),,2025-01-07 10:43,4
KT,w11783827548348,남,1985년 01월 08일 (만 40 세),서울,2025-01-07 6:30,8
KT,w166214111339069,남,1977년 12월 22일 (만 48 세),전남,2025-01-07 0:20,4
KT,w52148853176908,여,1966년 04월 21일 (만 59 세),서울,2025-01-06 15:56,10
KT,w184435463733646,여,1981년 03월 18일 (만 44 세),경기,2025-01-06 18:47,4
KT,w50643264627005,여,1982년 11월 04일 (만 43 세),충남,2025-01-07 8:53,"4, 2"
KT,w159100758207834,남,1977년 02월 21일 (만 48 세),경남,2025-01-13 23:27,10
KT,w224155021091689,여,1991년 10월 27일 (만 34 세),부산,2025-01-06 11:42,1
KT,w53273754027981,남,1965년 05월 11일 (만 60 세),서울,2025-01-06 10:25,8
KT,w186780385152677,남,1977년 10월 20일 (만 48 세),충북,2025-01-06 15:35,4
KT,,,(만 2025 세),,2025-01-06 20:38,10
KT,w7624649040107,여,1973년 01월 23일 (만 52 세),전북,2025-01-07 23:41,10
KT,w212714749104571,남,1963년 11월 13일 (만 62 세),경북,2025-01-09 20:32,10
KT,w230131297817517,남,1962년 06월 26일 (만 63 세),경기,2025-01-07 6:53,2
KT,w44108945677046,여,1971년 04월 15일 (만 54 세),경기,2025-01-07 8:43,4
KT,w163995515275365,남,1967년 07월 13일 (만 58 세),서울,2025-01-06 10:15,"8, 4"
KT,w33869448753521,여,1968년 10월 08일 (만 57 세),광주,2025-01-12 3:53,10
KT,w157875192763989,여,1979년 03월 19일 (만 46 세),부산,2025-01-06 11:22,"3, 9"
KT,w200682433664301,남,1970년 11월 25일 (만 55 세),경기,2025-01-06 10:33,10
KT,w273085374588653,여,2002년 04월 12일 (만 23 세),대전,2025-01-12 4:13,10
KT,w34568090631267,여,1966년 09월 12일 (만 59 세),경기,2025-01-07 16:07,4
KT,w26652677843627,여,1979년 09월 01일 (만 46 세),서울,2025-01-13 12:39,10
KT,w115132551243779,여,1998년 06월 23일 (만 27 세),강원,2025-01-08 18:07,10
KT,w39816499596633,남,1957년 12월 19일 (만 68 세),대구,2025-01-07 6:31,"4, 6"
KT,w227214719779119,여,1975년 06월 23일 (만 50 세),부산,2025-01-10 22:10,10
KT,w143976326857602,여,1987년 12월 24일 (만 38 세),경기,2025-01-06 15:04,4
KT,w10769584376047,여,1973년 01월 20일 (만 52 세),경남,2025-01-07 15:19,4
KT,w29205274692613,여,1965년 04월 11일 (만 60 세),전남,2025-01-07 4:56,"7, 8, 3"
KT,w251977543948261,남,1995년 03월 21일 (만 30 세),경기,2025-01-12 12:24,"5, 4"
KT,w249901739545322,남,1972년 10월 07일 (만 53 세),서울,2025-01-10 19:46,"5, 4"
KT,w343916433321,남,1973년 09월 16일 (만 52 세),서울,2025-01-07 5:41,"8, 4"
KT,w238324075556798,남,1962년 12월 11일 (만 63 세),서울,2025-01-07 4:59,4
KT,w220273672354162,여,1999년 09월 30일 (만 26 세),서울,2025-01-07 8:41,10
Wiz,w46637003875,여,1979년 08월 19일 (만 46 세),광주,2025-01-06 20:23,10
KT,w1288711657707,남,1983년 10월 24일 (만 42 세),부산,2025-01-06 10:23,4
KT,w167031298584721,여,1999년 11월 03일 (만 26 세),강원,2025-01-07 0:01,10
KT,w115901774229312,여,1974년 10월 09일 (만 51 세),서울,2025-01-13 5:48,7
KT,w156341967169208,남,1970년 10월 25일 (만 55 세),인천,2025-01-06 11:21,7
KT,w80601930505233,남,1969년 10월 07일 (만 56 세),경기,2025-01-07 8:50,"4, 8"
KT,w210604728670932,남,1969년 02월 18일 (만 56 세),충남,2025-01-06 17:35,10
KT,w409447061390,여,1984년 04월 24일 (만 41 세),서울,2025-01-06 23:26,10
KT,w121381844823645,남,2001년 05월 28일 (만 24 세),제주,2025-01-06 21:50,6
KT,w227396513249576,여,1990년 11월 27일 (만 35 세),대구,2025-01-06 13:04,5
KT,w82303646254399,여,1976년 01월 25일 (만 49 세),서울,2025-01-10 2:50,10
KT,w19384498962763,남,1977년 01월 13일 (만 48 세),경남,2025-01-07 7:41,7
KT,w142555478534681,남,1969년 06월 01일 (만 56 세),경기,2025-01-07 20:59,7
KT,w1752628238548,여,1970년 11월 22일 (만 55 세),경남,2025-01-06 20:52,4
KT,w14318361317480,여,1965년 02월 28일 (만 60 세),경기,2025-01-08 1:57,4
KT,w254555353484389,여,1968년 01월 08일 (만 57 세),서울,2025-01-06 19:26,6
KT,w127134637484795,남,1974년 06월 27일 (만 51 세),인천,2025-01-06 18:00,2
KT,w164433148611856,남,1989년 02월 22일 (만 36 세),서울,2025-01-07 11:03,8
KT,w19366775859663,여,1963년 08월 12일 (만 62 세),경북,2025-01-07 7:08,4
KT,w38284094252853,남,1969년 04월 25일 (만 56 세),서울,2025-01-07 8:26,"5, 4"
KT,w103784284163596,여,1965년 12월 30일 (만 60 세),경기,2025-01-07 8:05,4
KT,w68995319335109,여,1978년 07월 30일 (만 47 세),전북,2025-01-07 1:24,1
KT,w1336451785189,여,1969년 10월 18일 (만 56 세),서울,2025-01-08 6:19,"4, 1, 2"
KT,w381179449239,남,1973년 03월 13일 (만 52 세),경기,2025-01-07 6:48,"1, 8, 4"
KT,w253440542435038,남,1976년 10월 06일 (만 49 세),경기,2025-01-06 15:53,"4, 5"
KT,w166014425389044,여,1988년 11월 16일 (만 37 세),서울,2025-01-07 0:19,10
KT,w77068048846217,남,1984년 02월 28일 (만 41 세),강원,2025-01-07 7:03,6
KT,w2130648016735,여,1993년 10월 06일 (만 32 세),울산,2025-01-07 1:20,4
KT,w101005313923335,남,1972년 09월 04일 (만 53 세),경기,2025-01-07 8:39,4
KT,w96988290724014,남,1969년 02월 09일 (만 56 세),경기,2025-01-06 16:29,4
KT,w97146868563418,남,1973년 09월 15일 (만 52 세),대구,2025-01-07 6:24,1
KT,w135768878679145,여,2009년 06월 01일 (만 16 세),경북,2025-01-11 12:09,2
KT,w222894616254017,남,1969년 04월 17일 (만 56 세),경기,2025-01-06 20:58,4
KT,w85961833679559,남,1983년 08월 11일 (만 42 세),전북,2025-01-06 20:06,10
KT,w234101133356822,남,1966년 07월 26일 (만 59 세),충남,2025-01-07 7:26,4
KT,,,(만 2025 세),,2025-01-06 10:48,4
KT,w191103966692695,남,1973년 04월 07일 (만 52 세),경기,2025-01-06 21:34,4
KT,w236873260495455,여,1968년 10월 05일 (만 57 세),광주,2025-01-09 12:10,"1, 5"
KT,w251597586036002,남,1980년 02월 28일 (만 45 세),부산,2025-01-06 12:03,4
KT,w157901849947706,여,1957년 01월 05일 (만 68 세),경남,2025-01-11 5:46,4
KT,w23164482715778,남,1977년 01월 25일 (만 48 세),서울,2025-01-06 13:16,7
KT,w118310032366023,남,1975년 01월 10일 (만 50 세),대구,2025-01-06 14:53,4
KT,w64811766878534,여,1955년 06월 10일 (만 70 세),경기,2025-01-06 10:03,4
KT,w196258581714229,여,1967년 10월 28일 (만 58 세),서울,2025-01-06 9:59,4
KT,w438359725925,남,1973년 11월 23일 (만 52 세),경기,2025-01-07 11:54,"4, 9"
LG,w390904678324024,남,1981년 02월 28일 (만 44 세),경기,2025-01-09 1:33,"4, 1, 3"
LG,w208855156724229,남,1982년 04월 13일 (만 43 세),경기,2025-01-06 10:45,4
LG,w124470850274119,남,1973년 08월 09일 (만 52 세),경기,2025-01-07 0:16,"4, 7"
LG,w64293137236426,남,1973년 10월 21일 (만 52 세),경기,2025-01-07 9:38,6
LG,w177001893373450,남,1974년 02월 10일 (만 51 세),경기,2025-01-07 4:41,4
LG,w119448894964222,남,1970년 04월 12일 (만 55 세),서울,2025-01-06 16:05,10
LG,w86902151673990,남,1958년 02월 22일 (만 67 세),경기,2025-01-07 6:24,4
LG,w193801959812149,여,1988년 03월 09일 (만 37 세),서울,2025-01-07 20:16,2
Wiz,w4604140334224,여,1962년 09월 06일 (만 63 세),서울,2025-01-06 21:48,3
LG,w23515788823335,남,1969년 09월 05일 (만 56 세),부산,2025-01-07 2:10,"4, 6"
LG,w13820392952033,여,1995년 월 일 (만 30 세),서울,2025-01-06 22:14,2
LG,w76313033764345,남,1986년 03월 14일 (만 39 세),전북,2025-01-06 16:31,3
LG,w397083627357834,여,2001년 04월 10일 (만 24 세),경기,2025-01-13 11:54,2
LG,w69556540215064,남,1972년 03월 22일 (만 53 세),인천,2025-01-06 19:04,8
LG,w167780462508378,남,1981년 12월 26일 (만 44 세),대구,2025-01-06 9:51,"1, 4"
LG,w11517878846390,여,1996년 10월 04일 (만 29 세),세종,2025-01-06 14:41,"8, 4"
LG,w50163846181730,남,1968년 07월 08일 (만 57 세),서울,2025-01-07 0:35,10
LG,w22830489560959,여,1996년 10월 12일 (만 29 세),경기,2025-01-06 20:47,2
LG,w17094050063743,남,1980년 11월 19일 (만 45 세),세종,2025-01-11 13:29,9
LG,w167714780766426,남,1966년 10월 30일 (만 59 세),경기,2025-01-09 7:01,10
LG,w83129491516071,남,1972년 01월 29일 (만 53 세),경기,2025-01-06 13:27,10
LG,w33107470623389,여,1997년 03월 26일 (만 28 세),경기,2025-01-10 18:11,2
